,justice_name,term_start,term_end,appointee
86,"Clifford, Nathan
(Associate Justice)","January 21, 1858","July 25, 1881","Buchanan, James"
87,"Campbell, John A.
(Associate Justice)","April 11, 1853","April 30, 1861","Pierce, Franklin"
88,"Curtis, Benjamin R.
(Associate Justice)","October 10, 1851","September 30, 1857","Fillmore, Millard"
89,"Grier, Robert C.
(Associate Justice)","August 10, 1846","January 31, 1870","Polk, James K."
90,"Woodbury, Levi
(Associate Justice)","September 23, 1845","September 4, 1851","Polk, James K."
91,"Nelson, Samuel
(Associate Justice)","February 27, 1845","November 28, 1872","Tyler, John"
92,"Daniel, Peter V.
(Associate Justice)","January 10, 1842","May 31, 1860","Van Buren, Martin"
93,"McKinley, John
(Associate Justice)","January 9, 1838","July 19, 1852","Van Buren, Martin"
94,"Catron, John
(Associate Justice)","May 1, 1837","May 30, 1865","Jackson, Andrew"
95,"Barbour, Philip P.
(Associate Justice)","May 12, 1836","February 25, 1841","Jackson, Andrew"
96,"Taney, Roger B.
(Chief Justice)","March 28, 1836","October 12, 1864","Jackson, Andrew"
97,"Wayne, James M.
(Associate Justice)","January 14, 1835","July 5, 1867","Jackson, Andrew"
98,"Baldwin, Henry
(Associate Justice)","January 18, 1830","April 21, 1844","Jackson, Andrew"
99,"McLean, John
(Associate Justice)","March 12, 1829","April 4, 1861","Jackson, Andrew"
100,"Trimble, Robert
(Associate Justice)","June 16, 1826","August 25, 1828","Adams, John Quincy"
101,"Thompson, Smith
(Associate Justice)","September 1, 1823","December 18, 1843","Monroe, James"
102,"Story, Joseph
(Associate Justice)","February 3, 1812","September 10, 1845","Madison, James"
103,"Duvall, Gabriel
(Associate Justice)","November 23, 1811","January 12, 1835","Madison, James"
104,"Todd, Thomas
(Associate Justice)","May 4, 1807","February 7, 1826","Jefferson, Thomas"
105,"Livingston, Henry Brockholst
(Associate Justice)","January 20, 1807","March 18, 1823","Jefferson, Thomas"
106,"Johnson, William
(Associate Justice)","May 7, 1804","August 4, 1834","Jefferson, Thomas"
107,"Marshall, John
(Chief Justice)","February 4, 1801","July 6, 1835","Adams, John"
108,"Moore, Alfred
(Associate Justice)","April 21, 1800","January 26, 1804","Adams, John"
109,"Washington, Bushrod
(Associate Justice)","November 9, 1798","November 26, 1829","Adams, John"
110,"Ellsworth, Oliver
(Chief Justice)","March 8, 1796","December 15, 1800","Washington, George"
111,"Chase, Samuel
(Associate Justice)","February 4, 1796","June 19, 1811","Washington, George"
112,"Rutledge, John
(Chief Justice)","August 12, 1795","December 15, 1795","Washington, George"
113,"Paterson, William
(Associate Justice)","March 11, 1793","September 9, 1806","Washington, George"
114,"Johnson, Thomas
(Associate Justice)","September 19, 1791","January 16, 1793","Washington, George"
115,"Iredell, James
(Associate Justice)","May 12, 1790","October 20, 1799","Washington, George"
116,"Rutledge, John
(Associate Justice)","February 15, 1790","March 5, 1791","Washington, George"
117,"Cushing, William
(Associate Justice)","February 2, 1790","September 13, 1810","Washington, George"
118,"Blair, John
(Associate Justice)","February 2, 1790","October 25, 1795","Washington, George"
119,"Jay, John
(Chief Justice)","October 19, 1789","June 29, 1795","Washington, George"
120,"Wilson, James
(Associate Justice)","October 5, 1789","August 21, 1798","Washington, George"
